Number,Time,Si
1,0.02274,83880.49638
2,0.02774,64968.39809
3,0.03275,69593.1907
4,0.03776,130881.6315
5,0.04345,71805.65139
6,0.04846,66978.9678
7,0.05346,68386.55853
8,0.05847,69593.1907
9,0.06348,71403.35676
10,0.06849,75426.88407
11,0.07349,99998.3936
12,0.0785,81665.90418
13,0.08351,67582.20162
14,0.08852,75829.30783
15,0.09352,68185.46446
16,0.09853,64566.32285
17,0.10354,66174.70121
18,0.10855,59340.51835
19,0.11355,66576.82806
20,0.11856,69190.96707
21,0.12357,62958.15087
22,0.12858,70799.93903
23,0.13358,70196.55034
24,0.13859,66978.9678
25,0.1436,70598.80624
26,0.14861,64767.35886
27,0.15361,72207.95892
28,0.15862,67180.04251
29,0.16363,66375.76302
30,0.16864,108670.3252
31,0.17364,78042.86941
32,0.17865,68788.75635
33,0.18366,61350.18525
34,0.18867,117550.1346
35,0.19367,62355.13959
36,0.19868,59541.47053
37,0.20369,66375.76302
38,0.20869,68386.55853
39,0.2137,65772.58727
40,0.21871,61551.16967
41,0.22372,113513.0791
42,0.22872,61551.16967
43,0.23373,71202.21429
44,0.23874,66576.82806
45,0.24375,69190.96707
46,0.24875,60948.22609
47,0.25376,71001.07504
48,0.25877,60948.22609
49,0.26378,60747.25134
50,0.26878,128456.6705
51,0.27379,66174.70121
52,0.2788,66174.70121
53,0.28381,69190.96707
54,0.28881,74018.50262
55,0.29382,114320.3864
56,0.29883,62757.14389
57,0.30384,67783.28601
58,0.30884,62355.13959
59,0.31385,72610.27937
60,0.31886,72006.80354
61,0.32387,64164.26051
62,0.32887,67783.28601
63,0.33388,64968.39809
64,0.33889,62958.15087
65,0.3439,62355.13959
66,0.3489,72006.80354
67,0.35391,67783.28601
68,0.35892,69995.42723
69,0.36393,63561.19118
70,0.36893,104837.8027
71,0.37394,62556.14013
72,0.37895,67783.28601
73,0.38396,63963.23417
74,0.38896,66978.9678
75,0.39397,62757.14389
76,0.39898,64365.29006
77,0.40399,131690.0559
78,0.40899,66174.70121
79,0.414,64767.35886
80,0.41901,73012.61273
81,0.42402,66777.89632
82,0.42902,68386.55853
83,0.43403,67783.28601
84,0.43904,66375.76302
85,0.44404,64365.29006
86,0.44905,70598.80624
87,0.45406,67783.28601
88,0.45907,66375.76302
89,0.46407,67381.12045
90,0.46908,70598.80624
91,0.47409,61953.14818
92,0.4791,61149.20406
93,0.4841,66375.76302
94,0.48911,65772.58727
95,0.49412,110082.6021
96,0.49913,51505.89612
97,0.50413,66978.9678
98,0.50914,68386.55853
99,0.51415,67783.28601
100,0.51916,72409.11753
101,0.52416,65571.53514
102,0.52917,68386.55853
103,0.53418,65973.64263
104,0.53919,71202.21429
105,0.54419,63159.16109
106,0.5492,64968.39809
107,0.55421,63360.17452
108,0.55922,80256.82183
109,0.56422,63561.19118
110,0.56923,66375.76302
111,0.57424,65571.53514
112,0.57925,70598.80624
113,0.58425,63762.21106
114,0.58926,63762.21106
115,0.59427,64365.29006
116,0.59928,58134.87291
117,0.60428,68587.65583
118,0.60929,155764.4937
119,0.6143,81464.59701
120,0.61931,135732.958
121,0.62431,63159.16109
122,0.62932,61149.20406
123,0.63433,64566.32285
124,0.63934,67180.04251
125,0.64434,63159.16109
126,0.64935,69392.07727
127,0.65436,65772.58727
128,0.65937,67582.20162
129,0.66437,69794.30735
130,0.66938,66174.70121
131,0.67439,61752.15732
132,0.6794,67180.04251
133,0.6844,70196.55034
134,0.68941,65772.58727
135,0.69442,134115.6411
136,0.69942,102216.2245
137,0.70443,66777.89632
138,0.70944,68989.86009
139,0.71445,68386.55853
140,0.71945,54317.76091
141,0.72446,58134.87291
142,0.72947,62556.14013
143,0.73448,70397.67668
144,0.73948,68989.86009
145,0.74449,122194.3533
146,0.7495,67984.37362
147,0.75451,59340.51835
148,0.75951,68185.46446
149,0.76452,77640.3746
150,0.76953,62355.13959
151,0.77454,64968.39809
152,0.77954,66375.76302
153,0.78455,66978.9678
154,0.78956,66576.82806
155,0.79457,69593.1907
156,0.79957,67984.37362
157,0.80458,69392.07727
158,0.80959,66174.70121
159,0.8146,120780.7137
160,0.8196,68587.65583
161,0.82461,134722.1105
162,0.82962,67381.12045
