Number,Time 197Au,197Au
1,0.008,200.0016
2,0.013,0
3,0.018,0
4,0.023,0
5,0.028,0
6,0.033,0
7,0.038,0
8,0.043,0
9,0.048,0
10,0.053,0
11,0.058,0
12,0.063,0
13,0.068,0
14,0.073,0
15,0.078,0
16,0.083,0
17,0.088,0
18,0.093,200.0016
19,0.098,200.0016
20,0.103,0
21,0.108,0
22,0.113,0
23,0.118,0
24,0.123,0
25,0.128,0
26,0.133,0
27,0.138,0
28,0.143,0
29,0.148,400.0064001
30,0.153,0
31,0.158,0
32,0.163,0
33,0.168,0
34,0.173,0
35,0.178,0
36,0.183,0
37,0.188,0
38,0.193,0
39,0.198,0
40,0.203,0
41,0.208,0
42,0.213,200.0016
43,0.218,0
44,0.223,0
45,0.228,0
46,0.233,200.0016
47,0.238,0
48,0.243,0
49,0.248,0
50,0.253,0
51,0.258,0
52,0.263,0
53,0.268,0
54,0.273,0
55,0.278,0
56,0.283,0
57,0.288,0
58,0.293,0
59,0.298,0
60,0.303,0
61,0.308,0
62,0.313,0
63,0.318,200.0016
64,0.323,0
65,0.328,0
66,0.333,59943.38458
67,0.338,0
68,0.343,0
69,0.348,0
70,0.353,0
71,0.358,0
72,0.363,200.0016
73,0.368,0
74,0.373,0
75,0.378,0
76,0.383,0
77,0.388,0
78,0.393,0
79,0.398,0
80,0.403,0
81,0.408,0
82,0.413,200.0016
83,0.418,200.0016
84,0.423,0
85,0.428,0
86,0.433,0
87,0.438,0
88,0.443,0
89,0.448,0
90,0.453,0
91,0.458,0
92,0.463,0
93,0.468,0
94,0.473,0
95,0.478,0
96,0.483,0
97,0.488,0
98,0.493,0
99,0.498,0
100,0.503,0
101,0.508,0
102,0.513,0
103,0.518,0
104,0.523,0
105,0.528,0
106,0.533,200.0016
107,0.538,0
108,0.543,0
109,0.548,200.0016
110,0.553,0
111,0.558,0
112,0.563,0
113,0.568,0
114,0.573,0
115,0.578,0
116,0.583,0
117,0.588,0
118,0.593,0
119,0.598,0
120,0.603,0
121,0.608,0
122,0.613,0
123,0.618,0
124,0.623,0
125,0.628,0
126,0.633,200.0016
127,0.638,0
128,0.643,0
129,0.648,0
130,0.653,0
131,0.658,0
132,0.663,0
133,0.668,0
134,0.674,0
135,0.678,200.0016
136,0.684,61350.18525
137,0.689,0
138,0.694,400.0064001
139,0.699,600.0144003
140,0.704,0
141,0.709,0
142,0.714,0
143,0.719,0
144,0.724,0
145,0.729,0
146,0.734,200.0016
147,0.739,0
148,0.744,0
149,0.749,0
150,0.754,200.0016
151,0.759,0
152,0.764,0
153,0.769,0
154,0.774,0
155,0.779,0
156,0.784,0
157,0.789,0
158,0.794,0
159,0.799,0
160,0.804,200.0016
161,0.809,200.0016
162,0.814,0
163,0.819,0
164,0.824,0
165,0.829,200.0016
166,0.834,0
167,0.839,0
168,0.844,0
169,0.849,0
170,0.854,0
171,0.859,0
172,0.864,400.0064001
173,0.869,0
174,0.874,0
175,0.879,200.0016
176,0.884,0
177,0.889,200.0016
178,0.894,0
179,0.899,0
180,0.904,0
181,0.909,0
182,0.914,0
183,0.919,33444.6821
184,0.924,1000.040002
185,0.929,0
186,0.934,200.0016
187,0.939,0
188,0.944,0
189,0.949,0
190,0.954,0
191,0.959,200.0016
192,0.964,0
193,0.969,0
194,0.974,0
195,0.979,0
196,0.984,0
197,0.989,0
198,0.994,0
199,0.999,0
200,1.004,0
201,1.009,0
202,1.014,0
203,1.019,0
204,1.024,0
205,1.029,0
206,1.034,0
207,1.039,0
208,1.044,200.0016
209,1.049,0
210,1.054,0
211,1.059,0
212,1.064,0
213,1.069,0
214,1.074,0
215,1.079,0
216,1.084,0
217,1.089,0
218,1.094,0
219,1.099,0
220,1.104,0
221,1.109,0
222,1.114,0
223,1.119,0
224,1.124,200.0016
225,1.129,0
226,1.134,0
227,1.139,0
228,1.144,0
229,1.149,0
230,1.154,0
231,1.159,200.0016
232,1.164,200.0016
233,1.169,200.0016
234,1.174,0
235,1.179,0
236,1.184,0
237,1.189,200.0016
238,1.194,200.0016
239,1.199,0
240,1.204,0
241,1.209,0
242,1.214,0
243,1.219,200.0016
244,1.224,0
245,1.229,0
246,1.234,0
247,1.239,0
248,1.244,400.0064001
249,1.249,0
250,1.254,0
251,1.259,400.0064001
252,1.264,0
253,1.269,0
254,1.274,0
255,1.279,0
256,1.284,0
257,1.289,0
258,1.294,0
259,1.299,0
260,1.304,0
261,1.309,200.0016
262,1.314,200.0016
263,1.319,0
264,1.324,0
265,1.329,0
266,1.334,400.0064001
267,1.339,0
268,1.344,0
269,1.35,0
270,1.355,0
271,1.36,0
272,1.365,0
273,1.37,0
274,1.375,0
275,1.38,0
276,1.385,0
277,1.39,0
278,1.395,0
279,1.4,0
280,1.405,0
281,1.41,0
282,1.415,0
283,1.42,0
284,1.425,0
285,1.43,0
286,1.435,0
287,1.44,200.0016
288,1.445,0
289,1.45,200.0016
290,1.455,0
291,1.46,200.0016
292,1.465,200.0016
293,1.47,0
294,1.475,0
295,1.48,0
296,1.485,0
297,1.49,0
298,1.495,0
299,1.5,0
300,1.505,0
301,1.51,0
302,1.515,0
303,1.52,0
304,1.525,200.0016
305,1.53,0
