D:\Steffen\2024_04_05_Au_TiO2_SiO2\2024_04_Au.b\Au_0.1_ms_1.d
Intensity Vs Time,CPS
Acquired      : 2024-04-05 10:41:06 using Batch 2024_04_Au.b
Time [Sec],Au197
0.02146,0.00
0.02156,0.00
0.02166,0.00
0.02176,0.00
0.02186,0.00
0.02196,0.00
0.02206,0.00
0.02216,0.00
0.02226,0.00
0.02236,0.00
0.02246,0.00
0.02256,0.00
0.02266,0.00
0.02276,0.00
0.02286,0.00
0.02296,0.00
0.02306,0.00
0.02316,0.00
0.02326,0.00
0.02336,0.00
0.02346,0.00
0.02356,0.00
0.02366,0.00
0.02376,0.00
0.02386,0.00
0.02396,0.00
0.02406,0.00
0.02416,0.00
0.02426,0.00
0.02436,0.00
0.02446,10003.98
0.02456,0.00
0.02466,0.00
0.02476,0.00
0.02486,0.00
0.02496,0.00
0.02506,0.00
0.02516,0.00
0.02526,0.00
0.02536,0.00
0.02546,0.00
0.02556,0.00
0.02566,0.00
0.02576,0.00
0.02586,0.00
0.02596,0.00
0.02606,0.00
0.02616,0.00
0.02626,0.00
0.02636,0.00
0.02646,0.00
0.02656,0.00
0.02666,0.00
0.02676,0.00
0.02686,0.00
0.02696,0.00
0.02706,0.00
0.02716,0.00
0.02726,0.00
0.02736,0.00
0.02746,0.00
0.02756,0.00
0.02766,0.00
0.02776,0.00
0.02786,0.00
0.02796,10003.98
0.02806,0.00
0.02816,10003.98
0.02826,0.00
0.02836,0.00
0.02846,0.00
0.02856,0.00
0.02866,0.00
0.02876,0.00
0.02886,0.00
0.02896,0.00
0.02906,0.00
0.02916,0.00
0.02926,0.00
0.02936,0.00
0.02946,0.00
0.02956,0.00
0.02966,0.00
0.02976,0.00
0.02986,0.00
0.02996,0.00
0.03006,0.00
0.03016,0.00
0.03026,0.00
0.03036,0.00
0.03046,10003.98
0.03056,0.00
0.03066,0.00
0.03076,0.00
0.03086,0.00
0.03096,0.00
0.03106,0.00
0.03116,0.00
0.03126,0.00
0.03136,0.00
0.03146,0.00
0.03156,0.00
0.03166,0.00
0.03176,0.00
0.03186,0.00
0.03196,0.00
0.03206,0.00
0.03216,0.00
0.03226,0.00
0.03236,0.00
0.03246,0.00
0.03256,0.00
0.03266,0.00
0.03276,0.00
0.03286,0.00
0.03296,0.00
0.03306,0.00
0.03316,0.00
0.03326,0.00
0.03336,0.00
0.03346,0.00
0.03356,0.00
0.03366,0.00
0.03376,0.00
0.03386,0.00
0.03396,0.00
0.03406,0.00
0.03416,0.00
0.03426,0.00
0.03436,0.00
0.03446,0.00
0.03456,0.00
0.03466,0.00
0.03476,0.00
0.03486,0.00
0.03496,0.00
0.03506,0.00
0.03516,0.00
0.03526,0.00
0.03536,0.00
0.03546,0.00
0.03556,0.00
0.03566,0.00
0.03576,0.00
0.03586,0.00
0.03596,0.00
0.03606,0.00
0.03616,0.00
0.03626,10003.98
0.03636,0.00
0.03646,0.00
0.03656,0.00
0.03666,0.00
0.03676,0.00
0.03686,0.00
0.03696,0.00
0.03706,10003.98
0.03716,0.00
0.03726,0.00
0.03736,0.00
0.03746,0.00
0.03756,0.00
0.03766,0.00
0.03776,10003.98
0.03786,0.00
0.03796,0.00
0.03806,0.00
0.03816,0.00
0.03826,0.00
0.03836,0.00
0.03846,0.00
0.03856,0.00
0.03866,0.00
0.03876,0.00
0.03886,0.00
0.03896,0.00
0.03906,0.00
0.03916,0.00
0.03926,0.00
0.03936,0.00
0.03946,0.00
0.03956,0.00
0.03966,0.00
0.03976,0.00
0.03986,0.00
0.03996,0.00
0.04006,0.00
0.04016,0.00
0.04026,10003.98
0.04036,0.00
0.04046,0.00
0.04056,0.00
0.04066,0.00
0.04076,0.00
0.04086,0.00
0.04096,0.00
0.04106,0.00
0.04116,0.00
0.04126,0.00
0.04136,0.00
0.04146,0.00
0.04156,0.00
0.04166,0.00
0.04176,0.00
0.04186,0.00
0.04196,10003.98
0.04206,0.00
0.04216,0.00
0.04226,0.00
0.04236,0.00
0.04246,0.00
0.04256,0.00
0.04266,0.00
0.04276,0.00
0.04286,0.00
0.04296,0.00
0.04306,0.00
0.04316,0.00
0.04326,0.00
0.04336,0.00
0.04346,0.00
0.04356,0.00
0.04366,0.00
0.04376,0.00
0.04386,0.00
0.04396,0.00
0.04406,0.00
0.04416,0.00
0.04426,0.00
0.04436,0.00
0.04446,0.00
0.04456,0.00
0.04466,0.00
0.04476,0.00
0.04486,0.00
0.04496,0.00
0.04506,0.00
0.04516,0.00
0.04526,0.00
0.04536,0.00
0.04546,0.00
0.04556,0.00
0.04566,10003.98
0.04576,0.00
0.04586,0.00
0.04596,0.00
0.04606,0.00
0.04616,0.00
0.04626,0.00
0.04636,0.00
0.04646,0.00
0.04656,0.00
0.04666,0.00
0.04676,0.00
0.04686,0.00
0.04696,0.00
0.04706,0.00
0.04716,0.00
0.04726,0.00
0.04736,0.00
0.04746,0.00
0.04756,0.00
0.04766,0.00
0.04776,0.00
0.04786,0.00
0.04796,0.00
0.04806,0.00
0.04816,0.00
0.04826,0.00
0.04836,0.00
0.04846,0.00
0.04856,0.00
0.04866,0.00
0.04876,0.00
0.04886,0.00
0.04896,0.00
0.04906,0.00
0.04916,0.00
0.04926,0.00
0.04936,0.00
0.04946,0.00
0.04956,0.00
0.04966,0.00
0.04976,0.00
0.04986,0.00
0.04996,0.00
0.05006,0.00
0.05016,0.00
0.05026,0.00
0.05036,0.00
0.05046,0.00
0.05056,0.00
0.05066,0.00
0.05076,0.00
0.05086,0.00
0.05096,0.00
0.05106,0.00
0.05116,0.00
0.05126,0.00
0.05136,0.00
0.05146,0.00
0.05156,0.00
0.05166,0.00
0.05176,0.00
0.05186,0.00
0.05196,10003.98
0.05206,0.00
0.05216,0.00
0.05226,0.00
0.05236,0.00
0.05246,10003.98
0.05256,0.00
0.05266,0.00
0.05276,0.00
0.05286,10003.98
0.05296,0.00
0.05306,0.00
0.05316,20015.92
0.05326,0.00
0.05336,0.00
0.05346,0.00
0.05356,0.00
0.05366,0.00
0.05376,0.00
0.05386,0.00
0.05396,0.00
0.05406,0.00
0.05416,0.00
0.05426,0.00
0.05436,0.00
0.05446,0.00
0.05456,0.00
0.05466,0.00
0.05476,0.00
0.05486,10003.98
0.05496,0.00
0.05506,0.00
0.05516,0.00
0.05526,0.00
0.05536,0.00
0.05546,0.00
0.05556,0.00
0.05566,0.00
0.05576,0.00
0.05586,0.00
0.05596,0.00
0.05606,0.00
0.05616,0.00
0.05626,0.00
0.05636,0.00
0.05646,0.00
0.05656,0.00
0.05666,0.00
0.05676,0.00
0.05686,0.00
0.05696,0.00
0.05706,10003.98
0.05716,0.00
0.05726,0.00
0.05736,0.00
0.05746,0.00
0.05756,0.00
0.05766,0.00
0.05776,0.00
0.05786,0.00
0.05796,0.00
0.05806,0.00
0.05816,0.00
0.05826,0.00
0.05836,0.00
0.05846,0.00
0.05856,0.00
0.05866,0.00
0.05876,0.00
0.05886,0.00
0.05896,0.00
0.05906,0.00
0.05916,0.00
0.05926,0.00
0.05936,0.00
0.05946,0.00
0.05956,0.00
0.05966,0.00
0.05976,0.00
0.05986,0.00
0.05996,0.00
0.06006,0.00
0.06016,0.00
0.06026,0.00
0.06036,0.00
0.06046,0.00
0.06056,0.00
0.06066,0.00
0.06076,0.00
0.06086,0.00
0.06096,0.00
0.06106,10003.98
0.06116,0.00
0.06126,0.00
0.06136,0.00
0.06146,0.00
0.06156,0.00
0.06166,0.00
0.06176,0.00
0.06186,10003.98
0.06196,0.00
0.06206,0.00
0.06216,0.00
0.06226,0.00
0.06236,0.00
0.06246,0.00
0.06256,0.00
0.06266,0.00
0.06276,0.00
0.06286,0.00
0.06296,0.00
0.06306,0.00
0.06316,0.00
0.06326,0.00
0.06336,0.00
0.06346,0.00
0.06356,0.00
0.06366,0.00
0.06376,0.00
0.06386,0.00
0.06396,0.00
0.06406,0.00
0.06416,0.00
0.06426,0.00
0.06436,0.00
0.06446,0.00
0.06456,0.00
0.06466,0.00
0.06476,10003.98
0.06486,0.00
0.06496,0.00
0.06506,20015.92
0.06516,0.00
0.06526,10003.98
0.06536,20015.92
0.06546,0.00
0.06556,0.00
0.06566,0.00
0.06576,0.00
0.06586,0.00
0.06596,0.00
0.06606,0.00
0.06616,0.00
0.06626,0.00
0.06636,0.00
0.06646,0.00
0.06656,0.00
0.06666,0.00
0.06676,0.00
0.06686,0.00
0.06696,0.00
0.06706,0.00
0.06716,0.00
0.06726,0.00
0.06736,0.00
0.06746,0.00
0.06756,0.00
0.06766,0.00
0.06776,0.00
0.06786,0.00
0.06796,0.00
0.06806,0.00
0.06816,10003.98
0.06826,0.00
0.06836,0.00
0.06846,0.00
0.06856,0.00
0.06866,0.00
0.06876,0.00
0.06886,0.00
0.06896,0.00
0.06906,0.00
0.06916,0.00
0.06926,0.00
0.06936,0.00
0.06946,0.00
0.06956,0.00
0.06966,0.00
0.06976,0.00
0.06986,0.00
0.06996,0.00
0.07006,0.00
0.07016,0.00
0.07026,0.00
0.07036,0.00
0.07046,0.00
0.07056,0.00
0.07066,0.00
0.07076,0.00
0.07086,0.00
0.07096,0.00
0.07106,0.00
0.07116,0.00
0.07126,0.00
0.07136,0.00
0.07146,0.00
0.07156,0.00
0.07166,0.00
0.07176,0.00
0.07186,0.00
0.07196,0.00
0.07206,0.00
0.07216,0.00
0.07226,0.00
0.07236,0.00
0.07246,0.00
0.07256,0.00
0.07266,0.00
0.07276,0.00
0.07286,0.00
0.07296,0.00
0.07306,0.00
0.07316,0.00
0.07326,0.00
0.07336,0.00
0.07346,0.00
0.07356,0.00
0.07366,0.00
0.07376,0.00
0.07386,0.00
0.07396,0.00
0.07406,0.00
0.07416,0.00
0.07426,0.00
0.07436,0.00
0.07446,0.00
0.07456,0.00
0.07466,0.00
0.07476,0.00
0.07486,0.00
0.07496,0.00
0.07506,0.00
0.07516,0.00
0.07526,0.00
0.07536,0.00
0.07546,0.00
0.07556,0.00
0.07566,0.00
0.07576,0.00
0.07586,0.00
0.07596,0.00
0.07606,0.00
0.07616,0.00
0.07626,0.00
0.07636,0.00
0.07646,0.00
0.07656,0.00
0.07666,0.00
0.07676,0.00
0.07686,0.00
0.07696,0.00
0.07706,0.00
0.07716,0.00
0.07726,0.00
0.07736,0.00
0.07746,0.00
0.07756,0.00
0.07766,0.00
0.07776,0.00
0.07786,0.00
0.07796,0.00
0.07806,0.00
0.07816,0.00
0.07826,0.00
0.07836,0.00
0.07846,0.00
0.07856,0.00
0.07866,0.00
0.07876,0.00
0.07886,0.00
0.07896,0.00
0.07906,0.00
0.07916,0.00
0.07926,0.00
0.07936,0.00
0.07946,0.00
0.07956,0.00
0.07966,10003.98
0.07976,0.00
0.07986,0.00
0.07996,0.00
0.08006,0.00
0.08016,0.00
0.08026,0.00
0.08036,0.00
0.08046,0.00
0.08056,0.00
0.08066,0.00
0.08076,0.00
0.08086,0.00
0.08096,0.00
0.08106,0.00
0.08116,0.00
0.08126,0.00
0.08136,10003.98
0.08146,0.00
0.08156,0.00
0.08166,0.00
0.08176,0.00
0.08186,0.00
0.08196,0.00
0.08206,0.00
0.08216,0.00
0.08226,0.00
0.08236,0.00
0.08246,0.00
0.08256,0.00
0.08266,0.00
0.08276,0.00
0.08286,0.00
0.08296,0.00
0.08306,0.00
0.08316,0.00
0.08326,0.00
0.08336,0.00
0.08346,0.00
0.08356,0.00
0.08366,0.00
0.08376,0.00
0.08386,0.00
0.08396,0.00
0.08406,0.00
0.08416,0.00
0.08426,0.00
0.08436,0.00
0.08446,0.00
0.08456,0.00
0.08466,0.00
0.08476,0.00
0.08486,0.00
0.08496,0.00
0.08506,0.00
0.08516,0.00
0.08526,0.00
0.08536,0.00
0.08546,0.00
0.08556,0.00
0.08566,0.00
0.08576,0.00
0.08586,0.00
