D:\Steffen\2024_04_05_Au_TiO2_SiO2\2024_04_Si.b\SiO2_100_0.1_ms_1.d
Intensity Vs Time,CPS
Acquired      : 2024-04-05 11:58:02 using Batch 2024_04_Si.b
Time [Sec],Si28 -> 28
0.02253,385249.53
0.02263,323714.57
0.02273,395531.47
0.02283,272639.66
0.02293,323714.57
0.02303,313484.77
0.02313,364708.07
0.02323,333951.77
0.02333,242083.40
0.02343,293047.40
0.02353,282839.84
0.02363,436734.13
0.02373,416117.79
0.02383,488406.54
0.02393,323714.57
0.02403,509128.32
0.02413,364708.07
0.02423,364708.07
0.02433,282839.84
0.02443,282839.84
0.02453,385249.53
0.02463,395531.47
0.02473,416117.79
0.02483,385249.53
0.02493,385249.53
0.02503,231912.71
0.02513,354448.52
0.02523,272639.66
0.02533,374975.06
0.02543,426422.17
0.02553,478057.00
0.02563,467714.97
0.02573,303262.37
0.02583,436734.13
0.02593,293047.40
0.02603,313484.77
0.02613,252261.44
0.02623,323714.57
0.02633,436734.13
0.02643,405820.89
0.02653,447053.54
0.02663,313484.77
0.02673,405820.89
0.02683,436734.13
0.02693,405820.89
0.02703,323714.57
0.02713,303262.37
0.02723,416117.79
0.02733,344196.44
0.02743,457380.50
0.02753,436734.13
0.02763,313484.77
0.02773,293047.40
0.02783,293047.40
0.02793,313484.77
0.02803,242083.40
0.02813,416117.79
0.02823,791864.26
0.02833,488406.54
0.02843,344196.44
0.02853,405820.89
0.02863,242083.40
0.02873,354448.52
0.02883,272639.66
0.02893,272639.66
0.02903,529880.42
0.02913,323714.57
0.02923,293047.40
0.02933,395531.47
0.02943,293047.40
0.02953,374975.06
0.02963,385249.53
0.02973,354448.52
0.02983,364708.07
0.02993,405820.89
0.03003,323714.57
0.03013,405820.89
0.03023,191303.39
0.03033,293047.40
0.03043,333951.77
0.03053,395531.47
0.03063,242083.40
0.03073,282839.84
0.03083,416117.79
0.03093,333951.77
0.03103,262446.87
0.03113,272639.66
0.03123,354448.52
0.03133,333951.77
0.03143,364708.07
0.03153,221749.37
0.03163,344196.44
0.03173,364708.07
0.03183,457380.50
0.03193,374975.06
0.03203,252261.44
0.03213,395531.47
0.03223,303262.37
0.03233,313484.77
0.03243,395531.47
0.03253,426422.17
0.03263,385249.53
0.03273,374975.06
0.03283,293047.40
0.03293,262446.87
0.03303,333951.77
0.03313,303262.37
0.03323,303262.37
0.03333,303262.37
0.03343,252261.44
0.03353,488406.54
0.03363,529880.42
0.03373,405820.89
0.03383,395531.47
0.03393,313484.77
0.03403,405820.89
0.03413,374975.06
0.03423,303262.37
0.03433,374975.06
0.03443,385249.53
0.03453,313484.77
0.03463,323714.57
0.03473,252261.44
0.03483,231912.71
0.03493,303262.37
0.03503,313484.77
0.03513,405820.89
0.03523,426422.17
0.03533,323714.57
0.03543,344196.44
0.03553,354448.52
0.03563,374975.06
0.03573,252261.44
0.03583,385249.53
0.03593,447053.54
0.03603,385249.53
0.03613,293047.40
0.03623,416117.79
0.03633,498763.67
0.03643,426422.17
0.03653,231912.71
0.03663,385249.53
0.03673,303262.37
0.03683,221749.37
0.03693,354448.52
0.03703,405820.89
0.03713,395531.47
0.03723,364708.07
0.03733,293047.40
0.03743,313484.77
0.03753,303262.37
0.03763,364708.07
0.03773,272639.66
0.03783,303262.37
0.03793,416117.79
0.03803,252261.44
0.03813,252261.44
0.03823,374975.06
0.03833,436734.13
0.03843,478057.00
0.03853,478057.00
0.03863,529880.42
0.03873,416117.79
0.03883,242083.40
0.03893,354448.52
0.03903,242083.40
0.03913,395531.47
0.03923,242083.40
0.03933,416117.79
0.03943,333951.77
0.03953,333951.77
0.03963,385249.53
0.03973,354448.52
0.03983,252261.44
0.03993,313484.77
0.04003,354448.52
0.04013,344196.44
0.04023,426422.17
0.04033,416117.79
0.04043,242083.40
0.04053,354448.52
0.04063,426422.17
0.04073,488406.54
0.04083,416117.79
0.04093,385249.53
0.04103,323714.57
0.04113,272639.66
0.04123,488406.54
0.04133,323714.57
0.04143,467714.97
0.04153,333951.77
0.04163,354448.52
0.04173,385249.53
0.04183,395531.47
0.04193,333951.77
0.04203,282839.84
0.04213,313484.77
0.04223,313484.77
0.04233,272639.66
0.04243,333951.77
0.04253,303262.37
0.04263,385249.53
0.04273,519500.59
0.04283,364708.07
0.04293,374975.06
0.04303,303262.37
0.04313,303262.37
0.04323,303262.37
0.04333,354448.52
0.04343,323714.57
0.04353,416117.79
0.04363,282839.84
0.04373,374975.06
0.04383,272639.66
0.04393,282839.84
0.04403,354448.52
0.04413,191303.39
0.04423,313484.77
0.04433,323714.57
0.04443,426422.17
0.04453,467714.97
0.04463,333951.77
0.04473,313484.77
0.04483,272639.66
0.04493,313484.77
0.04503,385249.53
0.04513,385249.53
0.04523,344196.44
0.04533,467714.97
0.04543,374975.06
0.04553,436734.13
0.04563,354448.52
0.04573,374975.06
0.04583,272639.66
0.04593,385249.53
0.04603,293047.40
0.04613,282839.84
0.04623,385249.53
0.04633,364708.07
0.04643,293047.40
0.04653,262446.87
0.04663,364708.07
0.04673,395531.47
0.04683,385249.53
0.04693,313484.77
0.04703,405820.89
0.04713,364708.07
0.04723,405820.89
0.04733,519500.59
0.04743,405820.89
0.04753,385249.53
0.04763,313484.77
0.04773,313484.77
0.04783,344196.44
0.04793,293047.40
0.04803,395531.47
0.04813,252261.44
0.04823,323714.57
0.04833,293047.40
0.04843,550662.86
0.04853,293047.40
0.04863,354448.52
0.04873,262446.87
0.04883,374975.06
0.04893,395531.47
0.04903,581893.59
0.04913,592319.08
0.04923,488406.54
0.04933,405820.89
0.04943,344196.44
0.04953,385249.53
0.04963,272639.66
0.04973,303262.37
0.04983,201444.71
0.04993,374975.06
0.05003,354448.52
0.05013,405820.89
0.05023,644561.25
0.05033,749622.75
0.05043,416117.79
0.05053,447053.54
0.05063,478057.00
0.05073,405820.89
0.05083,313484.77
0.05093,303262.37
0.05103,457380.50
0.05113,323714.57
0.05123,293047.40
0.05133,665511.80
0.05143,581893.59
0.05153,313484.77
0.05163,364708.07
0.05173,303262.37
0.05183,333951.77
0.05193,344196.44
0.05203,252261.44
0.05213,488406.54
0.05223,374975.06
0.05233,478057.00
0.05243,457380.50
0.05253,303262.37
0.05263,303262.37
0.05273,262446.87
0.05283,344196.44
0.05293,252261.44
0.05303,354448.52
0.05313,333951.77
0.05323,364708.07
0.05333,313484.77
0.05343,395531.47
0.05353,457380.50
0.05363,405820.89
0.05373,364708.07
0.05383,426422.17
0.05393,323714.57
0.05403,354448.52
0.05413,344196.44
0.05423,262446.87
0.05433,333951.77
0.05443,405820.89
0.05453,364708.07
0.05463,374975.06
0.05473,333951.77
0.05483,385249.53
0.05493,364708.07
0.05503,344196.44
0.05513,416117.79
0.05523,416117.79
0.05533,323714.57
0.05543,293047.40
0.05553,333951.77
0.05563,303262.37
0.05573,333951.77
0.05583,364708.07
0.05593,211593.37
0.05603,333951.77
0.05613,282839.84
0.05623,333951.77
0.05633,293047.40
0.05643,293047.40
0.05653,282839.84
0.05663,313484.77
0.05673,262446.87
0.05683,333951.77
0.05693,364708.07
0.05703,354448.52
0.05713,303262.37
0.05723,426422.17
0.05733,323714.57
0.05743,282839.84
0.05753,252261.44
0.05763,364708.07
0.05773,426422.17
0.05783,344196.44
0.05793,262446.87
0.05803,344196.44
0.05813,354448.52
0.05823,395531.47
0.05833,385249.53
0.05843,313484.77
0.05853,313484.77
0.05863,395531.47
0.05873,211593.37
0.05883,333951.77
0.05893,385249.53
0.05903,354448.52
0.05913,364708.07
0.05923,436734.13
0.05933,385249.53
0.05943,303262.37
0.05953,344196.44
0.05963,262446.87
0.05973,171042.68
0.05983,282839.84
0.05993,191303.39
0.06003,303262.37
0.06013,333951.77
0.06023,385249.53
0.06033,385249.53
0.06043,313484.77
0.06053,416117.79
0.06063,221749.37
0.06073,426422.17
0.06083,262446.87
0.06093,252261.44
0.06103,488406.54
0.06113,385249.53
0.06123,344196.44
0.06133,405820.89
0.06143,303262.37
0.06153,426422.17
0.06163,405820.89
0.06173,262446.87
0.06183,405820.89
0.06193,385249.53
0.06203,426422.17
0.06213,344196.44
0.06223,467714.97
0.06233,374975.06
0.06243,416117.79
0.06253,252261.44
0.06263,354448.52
0.06273,385249.53
0.06283,201444.71
0.06293,293047.40
0.06303,364708.07
0.06313,211593.37
0.06323,405820.89
0.06333,374975.06
0.06343,416117.79
0.06353,333951.77
0.06363,231912.71
0.06373,344196.44
0.06383,242083.40
0.06393,364708.07
0.06403,313484.77
0.06413,364708.07
0.06423,405820.89
0.06433,313484.77
0.06443,395531.47
0.06453,252261.44
0.06463,509128.32
0.06473,457380.50
0.06483,405820.89
0.06493,385249.53
0.06503,303262.37
